Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.2,487709497.2,596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240223,1245810056,1320670391,1379888268,1531843575,1665363128,1722905028,1873184358,1896648045,1962011173,2044134078,2254748603,2359776536,2469832402,2677653631,2843016760,2553631285,2453631285,2637988827,2615083799,2727932961,2791061453,2963128492,2983798883,3092178771,3202234637,3310055866,2496648045,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,21290586003,21808473825,23707015394,28210036878,26118787467,29682172751,32239121547,33514552047,36521482937,41828336213,44862605393,49478916698,53514844534,69600788111,86057777551,91649152687,91124551926,103415844082,115345041830,134671404725,170654335897,174387007968,167266313061,174918045687,160133966254,136297338030,152518294684,186144649622,204139844557,217538592169,253224041095,273402805409,238255441288,236526919099,240120093425,269636854386,268413689898,282184986870,265814093140,262172198957,283925424525,258818573323,264869812959,352658503931,438833793854,512211130671,575921416504,661179291210,708286928848,719216656141,860478348236,964418457188,973043454995,983937046711,1003678868707,924252536257,882355055413,1020647235171,991022252917,997534042075,921645942922,1082095608968
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,,,,,,,,,,,,,,,,,,,,,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,10109305183,12416161049,15856678596,17805113119,19907317066,20146404996,20497126770,19134211764,18116562465,18753469630,18053228579,18799450743,20116137326,
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,10404135069,11127894641,11943187848,12676330765,13838369295,14862225760,15832591204,14426038230,14880349280,16882092549,23504605476,20832817218,25264953766,31273819026,44214484997,51444731784,62129390375,65315008068,71199708192,88628401269,112031308654,211003492000,187163726213,138115204947,114262670304,116507282627,107497542341,110321770124,108943464549,101768783075,121802125422,117457060716,118282253152,98826369836,86281743753,108221319966,125763022908,127063922267,130106822587,137521000392,140410259302,148012829262,176938027370,204644531317,254092555394,310557534109,393305207803,461791382954,566480827442,507043593426,591595778367,670983030296,727570384034,820792700050,864990453539,760734474152,690546384903,683748746978,741689925173,794543045900,784445725635,835808395909
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5930503401,5550483036,5550483036,5784341596,6131475065,7553560459,7072063346,8083872012,8769250550,10201099039,11228764963,10603784541,8307810974,5768720422,4438321017,5538749260,7526446606,7648377413,6506229607,6152922943,9129594819,8936063723,15285594828,17812704825,23552047248,36970918699,52381006892,65266452081,88538610805,70307166934,81699556137,109436531427,124998158418,133401594461,137244418013,87219290029,49840494026,68972763787,77792940077,69309104807,53619071176,72546985709
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1857338012,1897050133,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174990.8,1185315468,1880951520,2392764853,3199641336,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052073539,8896072919,10677324144,12881353508,12044208086,11926922829,12890764531,12319830437,12776220507,13228147516,11386850130,11861199831,13019689337,15156432310,15401830754,15131866271,18260043500
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78619206.09,89409820.36,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594,611316399.4,721425939.2,795449332.4,1029048482,1106928583,1210013652,1007025755,1017549124,1178738991,1223945357,1180597273,1211932398,1239876305,1429049198,1546926174,1755910032,2361726862,2894921778,3159905484,3456442103,3952600602,4085630584,3674409558,3449925739,3629133574,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3329910724
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,35019874408,38163151813,43150006547,49841693163,59381535707,75330107157,142816295352,157909834834,196559705956,226978701922,249111411231,338626141970,459811278765,474025484143,444131734919,418463618520,425900123069,419501104252,406985865610,440608259912,424902039234,455824612500,644068929938,471525976315,473815259254,482768507762,507770217343,556060151754,614196023700,662320286111,644497080359,712838954001,816022345748,798508872208,803126104895,887856220506,1056250800484,1297897997607,1538296658887,1790043618081,2253740516076,1978805212790,2327010098167,2547958055745,2778076501107,2834607141427,2876010443892,2518700620586,2495864756764,2584096654452,2785878075917,2808099764578,2496251185652,2850421035169
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672507,19213022691,24871775165,23775831783,31225463218,43598748449,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,104337372362,103311640572,109816201498,124346358067,147824370320,180617467965,222116541865,257916133424,315474615739,253547358747,289787452662,350666058392,374590657683,390107528483,403137207535,358134944421,357045156019,385605506855,422215043585,417215559513,358868765175,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,24450604877,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499892,56781000101,58082870156,69252328952,76961923741,78676842367,84307486837,103979106778,79092001998,88416668900,110934442763,111106191358,126206817196,76636898036,141352368715,189719984268,228788617202,236741715015,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004252,127586973492,164657930453,198737095012,232557260817,287530508431,361558037110,332976484578,423627422092,530163281575,545982375701,552025140252,526319673732,594749285413,557531376218,643628665302,524819742919,452818426183,389591035521,491492700657
